ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,-2.2129141322027714,-1.3227985255248333,2.669419197376812,-2.2129141350091355,-2.2129141289366827,2.919010805158265,2.919010805158265,2.919010805158265,2.919010805158265,2.919010805158265,2.919010805158265,0.0,0.0,0.0,0.7060966729554936
2021-01-01,-2.3865874959691373,-2.8675585308164675,1.0364906322418956,-2.386587504669089,-2.3865874858555447,1.4838418277349459,1.4838418277349459,1.4838418277349459,1.4838418277349459,1.4838418277349459,1.4838418277349459,0.0,0.0,0.0,-0.9027456682341914
2022-01-01,-2.559786342348163,-2.6110477553988827,1.3644645488642613,-2.559786358496722,-2.5597863242657413,1.9672861556884313,1.9672861556884313,1.9672861556884313,1.9672861556884313,1.9672861556884313,1.9672861556884313,0.0,0.0,0.0,-0.5925001866597317
2023-01-01,-2.7329851887271883,-2.34029252983877,1.6587113423493065,-2.732985212731754,-2.732985160668465,2.445869802409439,2.445869802409439,2.445869802409439,2.445869802409439,2.445869802409439,2.445869802409439,0.0,0.0,0.0,-0.28711538631774935
