ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,1.1639183603307874,3.2080108143705606,4.6036516339998474,1.1639183549409624,1.1639183654947112,2.7414022683653454,2.7414022683653454,2.7414022683653454,2.7414022683653454,2.7414022683653454,2.7414022683653454,0.0,0.0,0.0,3.905320628696133
2021-01-01,1.269032517125049,3.4217335691295254,4.825618539376154,1.2690324998326956,1.2690325331038703,2.839032841934087,2.839032841934087,2.839032841934087,2.839032841934087,2.839032841934087,2.839032841934087,0.0,0.0,0.0,4.108065359059136
2022-01-01,1.3738594767695989,3.5637334050326155,4.865710689486718,1.3738594465603653,1.3738595058003087,2.8139266089279618,2.8139266089279618,2.8139266089279618,2.8139266089279618,2.8139266089279618,2.8139266089279618,0.0,0.0,0.0,4.18778608569756
2023-01-01,1.4786864364141494,3.556803453640166,4.914298032383708,1.4786863922955873,1.4786864817269443,2.7813687635205055,2.7813687635205055,2.7813687635205055,2.7813687635205055,2.7813687635205055,2.7813687635205055,0.0,0.0,0.0,4.260055199934655
