ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,-1.3064453506273055,0.5695821500979362,3.1580771914382675,-1.3064453546324888,-1.3064453460406464,3.1303328942642126,3.1303328942642126,3.1303328942642126,3.1303328942642126,3.1303328942642126,3.1303328942642126,0.0,0.0,0.0,1.823887543636907
2021-01-01,-1.3589604048301156,0.10298312055935241,2.7799157677308384,-1.358960416985553,-1.35896039107634,2.8428993472846145,2.8428993472846145,2.8428993472846145,2.8428993472846145,2.8428993472846145,2.8428993472846145,0.0,0.0,0.0,1.4839389424544989
2022-01-01,-1.4113319752782725,0.31136497222643256,2.8563391694106417,-1.4113319971230756,-1.4113319495818588,2.954947101087793,2.954947101087793,2.954947101087793,2.954947101087793,2.954947101087793,2.954947101087793,0.0,0.0,0.0,1.5436151258095205
2023-01-01,-1.46370354572643,0.2698553557834194,2.8609546786587816,-1.4637035813034713,-1.4637035076016156,3.0507976620076316,3.0507976620076316,3.0507976620076316,3.0507976620076316,3.0507976620076316,3.0507976620076316,0.0,0.0,0.0,1.5870941162812016
