ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-01,-1.0568197852590684,-1.1902044279049266,2.441918572888411,-1.0568197877831205,-1.0568197826536667,1.6285792438925704,1.6285792438925704,1.6285792438925704,1.6285792438925704,1.6285792438925704,1.6285792438925704,0.0,0.0,0.0,0.571759458633502
2021-01-01,-1.13211468115382,-0.9418510164845677,2.790691033869131,-1.1321146889162157,-1.1321146731271203,2.1300874400687646,2.1300874400687646,2.1300874400687646,2.1300874400687646,2.1300874400687646,2.1300874400687646,0.0,0.0,0.0,0.9979727589149445
2022-01-01,-1.2072038532892957,-1.147442834221543,2.688907253189695,-1.2072038666720246,-1.2072038376196588,1.96685728280906,1.96685728280906,1.96685728280906,1.96685728280906,1.96685728280906,1.96685728280906,0.0,0.0,0.0,0.7596534295197643
2023-01-01,-1.2822930254247717,-1.2626065429551168,2.2641799836369825,-1.2822930471607066,-1.2822930013635159,1.7996201010150281,1.7996201010150281,1.7996201010150281,1.7996201010150281,1.7996201010150281,1.7996201010150281,0.0,0.0,0.0,0.5173270755902564
